model,train_mse,test_mse,train_r2,test_r2,test_mae,n_leaves,depth,ccp_alpha
Unpruned Tree,18.124580162011767,17.964680077503772,0.4437245980377077,0.4405135852329206,3.019534294701524,200.0,12.0,
sklearn DecisionTree,5.151229615512537,5.076037301326444,0.8418996578483372,0.8419134713954943,1.3829886572188503,410.0,10.0,
Linear Regression,26.563282368522316,26.300017515797066,0.1847259111712588,0.1809204258164947,4.233392228331827,,,
RegressionTree + CCP,12.460790163706497,12.347972736612373,0.6175563243328543,0.6154385735652437,2.3062476304212276,212.0,15.0,13.336400293255128
